INFO  03:27:48 Configuration location: file:/etc/cassandra/default.conf/cassandra.yaml
INFO  03:27:48 Node configuration:[authenticator=PasswordAuthenticator; authorizer=CassandraAuthorizer; auto_snapshot=true; batch_size_fail_threshold_in_kb=50; batch_size_warn_threshold_in_kb=5; batchlog_replay_throttle_in_kb=1024; cas_contention_timeout_in_ms=1000; client_encryption_options=<REDACTED>; cluster_name=CSU BGPmon; column_index_size_in_kb=64; commit_failure_policy=stop; commitlog_segment_size_in_mb=32; commitlog_sync=periodic; commitlog_sync_period_in_ms=10000; compaction_large_partition_warning_threshold_mb=100; compaction_throughput_mb_per_sec=16; concurrent_counter_writes=32; concurrent_materialized_view_writes=32; concurrent_reads=32; concurrent_writes=32; counter_cache_save_period=7200; counter_cache_size_in_mb=null; counter_write_request_timeout_in_ms=5000; cross_node_timeout=false; data_file_directories=[/mnt/sdb/cassandra/data/]; disk_failure_policy=stop; dynamic_snitch_badness_threshold=0.1; dynamic_snitch_reset_interval_in_ms=600000; dynamic_snitch_update_interval_in_ms=100; enable_scripted_user_defined_functions=false; enable_user_defined_functions=false; endpoint_snitch=GossipingPropertyFileSnitch; gc_warn_threshold_in_ms=1000; hinted_handoff_enabled=true; hinted_handoff_throttle_in_kb=1024; hints_flush_period_in_ms=10000; incremental_backups=false; index_summary_capacity_in_mb=null; index_summary_resize_interval_in_minutes=60; inter_dc_tcp_nodelay=false; internode_compression=all; key_cache_save_period=14400; key_cache_size_in_mb=null; listen_address=129.82.138.74; max_hint_window_in_ms=10800000; max_hints_delivery_threads=2; max_hints_file_size_in_mb=128; memtable_allocation_type=heap_buffers; native_transport_port=9042; num_tokens=256; partitioner=org.apache.cassandra.dht.Murmur3Partitioner; permissions_validity_in_ms=2000; range_request_timeout_in_ms=10000; read_request_timeout_in_ms=5000; request_scheduler=org.apache.cassandra.scheduler.NoScheduler; request_timeout_in_ms=10000; role_manager=CassandraRoleManager; roles_validity_in_ms=2000; row_cache_save_period=0; row_cache_size_in_mb=0; rpc_address=129.82.138.74; rpc_keepalive=true; rpc_port=9160; rpc_server_type=sync; seed_provider=[{class_name=org.apache.cassandra.locator.SimpleSeedProvider, parameters=[{seeds=129.82.138.74,129.82.138.75}]}]; server_encryption_options=<REDACTED>; snapshot_before_compaction=false; ssl_storage_port=7001; sstable_preemptive_open_interval_in_mb=50; start_native_transport=true; start_rpc=false; storage_port=7000; thrift_framed_transport_size_in_mb=15; tombstone_failure_threshold=100000; tombstone_warn_threshold=1000; tracetype_query_ttl=86400; tracetype_repair_ttl=604800; trickle_fsync=false; trickle_fsync_interval_in_kb=10240; truncate_request_timeout_in_ms=60000; windows_timer_interval=1; write_request_timeout_in_ms=2000]
INFO  03:27:48 DiskAccessMode 'auto' determined to be mmap, indexAccessMode is mmap
INFO  03:27:48 Global memtable on-heap threshold is enabled at 1778MB
INFO  03:27:48 Global memtable off-heap threshold is enabled at 1778MB
INFO  03:27:48 Loaded cassandra-topology.properties for compatibility
INFO  03:27:48 Node configuration:[authenticator=PasswordAuthenticator; authorizer=CassandraAuthorizer; auto_snapshot=true; batch_size_fail_threshold_in_kb=50; batch_size_warn_threshold_in_kb=5; batchlog_replay_throttle_in_kb=1024; cas_contention_timeout_in_ms=1000; client_encryption_options=<REDACTED>; cluster_name=CSU BGPmon; column_index_size_in_kb=64; commit_failure_policy=stop; commitlog_segment_size_in_mb=32; commitlog_sync=periodic; commitlog_sync_period_in_ms=10000; compaction_large_partition_warning_threshold_mb=100; compaction_throughput_mb_per_sec=16; concurrent_counter_writes=32; concurrent_materialized_view_writes=32; concurrent_reads=32; concurrent_writes=32; counter_cache_save_period=7200; counter_cache_size_in_mb=null; counter_write_request_timeout_in_ms=5000; cross_node_timeout=false; data_file_directories=[/mnt/sdb/cassandra/data/]; disk_failure_policy=stop; dynamic_snitch_badness_threshold=0.1; dynamic_snitch_reset_interval_in_ms=600000; dynamic_snitch_update_interval_in_ms=100; enable_scripted_user_defined_functions=false; enable_user_defined_functions=false; endpoint_snitch=GossipingPropertyFileSnitch; gc_warn_threshold_in_ms=1000; hinted_handoff_enabled=true; hinted_handoff_throttle_in_kb=1024; hints_flush_period_in_ms=10000; incremental_backups=false; index_summary_capacity_in_mb=null; index_summary_resize_interval_in_minutes=60; inter_dc_tcp_nodelay=false; internode_compression=all; key_cache_save_period=14400; key_cache_size_in_mb=null; listen_address=129.82.138.74; max_hint_window_in_ms=10800000; max_hints_delivery_threads=2; max_hints_file_size_in_mb=128; memtable_allocation_type=heap_buffers; native_transport_port=9042; num_tokens=256; partitioner=org.apache.cassandra.dht.Murmur3Partitioner; permissions_validity_in_ms=2000; range_request_timeout_in_ms=10000; read_request_timeout_in_ms=5000; request_scheduler=org.apache.cassandra.scheduler.NoScheduler; request_timeout_in_ms=10000; role_manager=CassandraRoleManager; roles_validity_in_ms=2000; row_cache_save_period=0; row_cache_size_in_mb=0; rpc_address=129.82.138.74; rpc_keepalive=true; rpc_port=9160; rpc_server_type=sync; seed_provider=[{class_name=org.apache.cassandra.locator.SimpleSeedProvider, parameters=[{seeds=129.82.138.74,129.82.138.75}]}]; server_encryption_options=<REDACTED>; snapshot_before_compaction=false; ssl_storage_port=7001; sstable_preemptive_open_interval_in_mb=50; start_native_transport=true; start_rpc=false; storage_port=7000; thrift_framed_transport_size_in_mb=15; tombstone_failure_threshold=100000; tombstone_warn_threshold=1000; tracetype_query_ttl=86400; tracetype_repair_ttl=604800; trickle_fsync=false; trickle_fsync_interval_in_kb=10240; truncate_request_timeout_in_ms=60000; windows_timer_interval=1; write_request_timeout_in_ms=2000]
INFO  03:27:48 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  03:27:49 Using data-center name 'dc1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  03:27:49 New Cassandra host /129.82.138.76:9042 added
INFO  03:27:49 New Cassandra host /129.82.138.77:9042 added
INFO  03:27:49 New Cassandra host /129.82.138.74:9042 added
INFO  03:27:49 New Cassandra host /129.82.138.75:9042 added
Connected to cluster: CSU BGPmon
Datatacenter: dc1; Host: /129.82.138.76; Rack: rack1
Datatacenter: dc1; Host: /129.82.138.77; Rack: rack1
Datatacenter: dc1; Host: /129.82.138.74; Rack: rack1
Datatacenter: dc1; Host: /129.82.138.75; Rack: rack1
Created schema. Sleeping 4s for propagation.
Sleeping 2s...
Warming up insert with 200000 iterations...
Generating batches with [1..50] partitions and [0..50] rows (of [1..50] total rows in the partitions)
WARN  03:28:07 Timeout while setting keyspace on connection to bgpdb2.netsec.colostate.edu/129.82.138.76:9042. This should not happen but is not critical (it will be retried)
WARN  03:28:20 Timeout while setting keyspace on connection to bgpdb1.netsec.colostate.edu/129.82.138.75:9042. This should not happen but is not critical (it will be retried)
INFO  03:28:48 Updating topology for all endpoints that have changed
WARNING: uncertainty mode (err<) results in uneven workload between thread runs, so should be used for high level analysis only
Running with 4 threadCount
Running [insert] with 4 threads until stderr of mean < 0.02
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,            24,      25,     714,     714,   160.7,    41.8,   784.7,   816.1,   816.1,   816.1,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,           143,     114,    2855,    2855,    34.2,    26.7,    70.0,   236.4,   238.6,   238.6,    2.0,  0.25519,      0,      0,       0,       0,       0,       0
total,           276,     124,    3359,    3359,    32.7,    22.9,    98.6,   201.5,   211.4,   211.4,    3.1,  0.19109,      0,      0,       0,       0,       0,       0
total,           332,      53,    1517,    1517,    56.5,    22.9,   185.0,   456.2,   456.2,   456.2,    4.2,  0.20460,      0,      0,       0,       0,       0,       0
total,           435,      98,    2508,    2508,    50.7,    27.1,   185.1,   479.8,   646.6,   646.6,    5.2,  0.16558,      0,      0,       0,       0,       0,       0
total,           568,     128,    3108,    3108,    31.0,    22.3,    81.5,   152.5,   178.0,   178.0,    6.2,  0.13958,      0,      0,       0,       0,       0,       0
total,           622,      52,    1365,    1365,    75.7,    34.8,   327.1,   450.5,   450.5,   450.5,    7.3,  0.13100,      0,      0,       0,       0,       0,       0
total,           745,     122,    2972,    2972,    32.5,    22.2,   102.0,   158.5,   209.7,   209.7,    8.3,  0.11403,      0,      0,       0,       0,       0,       0
total,           815,      83,    2268,    2268,    45.6,    32.0,   137.8,   182.6,   182.6,   182.6,    9.1,  0.10208,      0,      0,       0,       0,       0,       0
total,           933,      87,    2218,    2218,    47.2,    25.2,   164.3,   399.9,   477.8,   477.8,   10.5,  0.09144,      0,      0,       0,       0,       0,       0
total,          1013,      90,    2338,    2338,    43.9,    24.8,   150.5,   221.4,   221.4,   221.4,   11.4,  0.08511,      0,      0,       0,       0,       0,       0
total,          1131,      83,    2081,    2081,    48.3,    25.4,   140.1,   380.8,   440.5,   440.5,   12.8,  0.07807,      0,      0,       0,       0,       0,       0
total,          1221,      95,    2772,    2772,    41.4,    32.1,    99.4,   211.4,   211.4,   211.4,   13.8,  0.07193,      0,      0,       0,       0,       0,       0
total,          1324,      76,    2110,    2110,    52.0,    32.8,   157.4,   350.0,   386.7,   386.7,   15.1,  0.06682,      0,      0,       0,       0,       0,       0
total,          1427,     108,    2724,    2724,    36.1,    21.9,   130.9,   145.6,   182.4,   182.4,   16.1,  0.06231,      0,      0,       0,       0,       0,       0
total,          1549,      99,    2489,    2489,    40.9,    22.5,   166.2,   283.5,   372.6,   372.6,   17.3,  0.05848,      0,      0,       0,       0,       0,       0
total,          1641,     102,    2651,    2651,    39.3,    25.8,   145.9,   189.8,   189.8,   189.8,   18.2,  0.05504,      0,      0,       0,       0,       0,       0
total,          1756,      87,    2378,    2378,    46.0,    28.8,   135.7,   333.8,   362.9,   362.9,   19.5,  0.05201,      0,      0,       0,       0,       0,       0
total,          1832,      82,    2356,    2356,    47.8,    34.2,   147.7,   218.8,   218.8,   218.8,   20.4,  0.04948,      0,      0,       0,       0,       0,       0
total,          1922,      66,    1773,    1773,    60.5,    37.8,   201.3,   402.4,   402.4,   402.4,   21.8,  0.04783,      0,      0,       0,       0,       0,       0
total,          2039,     109,    2655,    2655,    36.8,    23.7,   118.0,   171.3,   185.7,   185.7,   22.9,  0.04562,      0,      0,       0,       0,       0,       0
total,          2148,      83,    2014,    2014,    48.2,    27.8,   128.3,   330.4,   352.9,   352.9,   24.2,  0.04376,      0,      0,       0,       0,       0,       0
total,          2268,     113,    3210,    3210,    34.6,    24.3,   125.5,   141.3,   202.0,   202.0,   25.3,  0.04225,      0,      0,       0,       0,       0,       0
total,          2345,      49,    1311,    1311,    77.8,    44.8,   557.6,   612.5,   612.5,   612.5,   26.8,  0.04238,      0,      0,       0,       0,       0,       0
total,          2466,     113,    2946,    2946,    36.9,    24.6,   109.8,   247.7,   272.3,   272.3,   27.9,  0.04069,      0,      0,       0,       0,       0,       0
total,          2582,      95,    2477,    2477,    42.7,    23.5,   204.6,   245.1,   276.9,   276.9,   29.1,  0.03939,      0,      0,       0,       0,       0,       0
total,          2679,      95,    2419,    2419,    40.9,    27.1,   110.6,   251.4,   251.4,   251.4,   30.1,  0.03794,      0,      0,       0,       0,       0,       0
total,          2777,      73,    1854,    1854,    55.4,    28.9,   186.4,   467.4,   467.4,   467.4,   31.5,  0.03683,      0,      0,       0,       0,       0,       0
total,          2864,      87,    2390,    2390,    45.2,    33.1,   123.4,   219.2,   219.2,   219.2,   32.5,  0.03555,      0,      0,       0,       0,       0,       0
total,          2921,      51,    1571,    1571,    76.7,    26.9,   493.2,   534.3,   534.3,   534.3,   33.6,  0.03435,      0,      0,       0,       0,       0,       0
total,          3030,      94,    2531,    2531,    43.2,    35.1,    88.4,   193.4,   222.8,   222.8,   34.7,  0.03323,      0,      0,       0,       0,       0,       0
total,          3109,      76,    2122,    2122,    52.3,    28.1,   207.3,   236.3,   236.3,   236.3,   35.8,  0.03310,      0,      0,       0,       0,       0,       0
total,          3224,     111,    2826,    2826,    35.5,    24.9,   102.4,   165.7,   184.0,   184.0,   36.8,  0.03250,      0,      0,       0,       0,       0,       0
total,          3316,      89,    2209,    2209,    45.0,    18.5,   220.5,   384.9,   384.9,   384.9,   37.9,  0.03194,      0,      0,       0,       0,       0,       0
total,          3452,     128,    3074,    3074,    30.9,    20.3,    87.5,   121.8,   125.4,   125.4,   38.9,  0.03112,      0,      0,       0,       0,       0,       0
total,          3569,     118,    2757,    2757,    32.7,    20.3,    92.5,   187.3,   191.9,   191.9,   39.9,  0.03069,      0,      0,       0,       0,       0,       0
total,          3677,      92,    2123,    2123,    44.3,    19.3,   215.1,   355.3,   378.3,   378.3,   41.1,  0.02984,      0,      0,       0,       0,       0,       0
total,          3798,     105,    2634,    2634,    37.5,    26.9,   103.5,   192.1,   199.7,   199.7,   42.2,  0.02909,      0,      0,       0,       0,       0,       0
total,          3851,      55,    1574,    1574,    69.3,    26.2,   303.7,   431.2,   431.2,   431.2,   43.2,  0.02916,      0,      0,       0,       0,       0,       0
total,          3942,      81,    2173,    2173,    51.2,    29.8,   133.4,   358.0,   358.0,   358.0,   44.3,  0.02857,      0,      0,       0,       0,       0,       0
total,          4011,      60,    1553,    1553,    66.1,    36.7,   326.3,   368.4,   368.4,   368.4,   45.5,  0.02867,      0,      0,       0,       0,       0,       0
total,          4131,     114,    3063,    3063,    35.2,    22.2,   133.4,   245.5,   249.2,   249.2,   46.5,  0.02951,      0,      0,       0,       0,       0,       0
total,          4244,     112,    2609,    2609,    32.8,    19.0,   144.3,   196.1,   202.0,   202.0,   47.5,  0.02891,      0,      0,       0,       0,       0,       0
total,          4393,     123,    3060,    3060,    33.9,    22.0,   101.5,   366.6,   370.9,   370.9,   48.7,  0.02896,      0,      0,       0,       0,       0,       0
total,          4515,     119,    2999,    2999,    33.9,    24.0,    92.5,   190.8,   197.1,   197.1,   49.8,  0.02834,      0,      0,       0,       0,       0,       0
total,          4587,      92,    2591,    2591,    42.8,    28.8,   199.2,   239.6,   239.6,   239.6,   50.6,  0.02794,      0,      0,       0,       0,       0,       0
total,          4704,      82,    1924,    1924,    48.6,    20.3,   195.5,   468.4,   484.2,   484.2,   52.0,  0.02737,      0,      0,       0,       0,       0,       0
